id,objeto,estado,categoria,tipo_procedimiento,comprador,valor_estimado,monto_adjudicado,monto_contratado,moneda,n_adjudicaciones,n_proveedores,proveedor,proveedores,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-436167-2,ADQUISICION DE PRODUCTOS ALIMENTICIOS PARA USO EN GUARDERIAS Y COMEDORES MUNICIPALES - AD REFERENDUM - SEGUNDO LLAMADO,complete,goods,Contratación Directa,Municipalidad de Asunción,193460600,51200000,51200000,PYG,1,1,MARILIA INDUSTRIAL SRL,MARILIA INDUSTRIAL SRL,2024-01-11T13:29:03-04:00,2024-08-01T12:00:00-04:00,2024-09-02T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/436167-adquisicion-productos-alimenticios-uso-guarderias-comedores-municipales-ad-referendu-3.html
ocds-03ad3f-432813-2,ADQUISICION DE MAQUINA TRITURADORA DE PAPEL PARA LA DIRECCION DE CONTRALORIA INTERNA MUNICIPAL - AD REFERENDUM - SEGUNDO LLAMADO ,cancelled,goods,Contratación Directa,Municipalidad de Asunción,1195167,,,PYG,0,0,,,2024-01-09T14:15:34-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/432813-adquisicion-maquina-trituradora-papel-direccion-contraloria-interna-municipal-ad-ref-3.html
ocds-03ad3f-445369-1,CONTRATACION DE SERVICIOS FUNEBRES PARA LA MUNICIPALIDAD DE ASUNCION,unsuccessful,goods,Menor cuantía nacional,Municipalidad de Asunción,100000000,,,PYG,0,0,,,2024-09-06T16:54:53-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef2d87a-f5b5-63ce-b6c8-ed9087184a70.html
ocds-03ad3f-419606-2,"ARRENDAMIENTO CON OPCION DE COMPRA DE EQUIPOS DE AUDIO, LUCES Y PANTALLA LED - LEASING - PLURIANUAL - SEGUNDO LLAMADO",complete,services,Licitación Pública Nacional,Municipalidad de Asunción,5991835765,,,PYG,0,0,,,2024-08-30T19:44:07-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/419606-arrendamiento-opcion-compra-equipos-audio-luces-pantalla-led-leasing-plurianual-segu-3.html
ocds-03ad3f-423493-1,ADQUISICION DE COMPACTADORA VIBRATORIA AUTOPROPULSADA Y MAQUINA PAVIMENTADORA PARA LA DIRECCION DE VIALIDAD - AD REFERENDUM,complete,goods,Licitación Pública Nacional,Municipalidad de Asunción,2538123425,2875000000,2875000000,PYG,1,1,PROYEC S.A.E,PROYEC S.A.E,2023-12-26T16:17:58-04:00,2024-05-16T12:00:00-04:00,2024-07-02T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/423493-adquisicion-compactadora-vibratoria-autopropulsada-maquina-pavimentadora-direccion-1.html
ocds-03ad3f-434397-1,MANTENIMIENTO Y REPARACION DE MINI PALAS DE LA DIRECCION DE SERVICIOS URBANOS - AD REFERENDUM,complete,services,Contratación Directa,Municipalidad de Asunción,190000000,190000000,190000000,PYG,1,1,AUTOMOTIVE SA IMPORTADORA Y EXPORTADORA,AUTOMOTIVE SA IMPORTADORA Y EXPORTADORA,2024-01-03T15:04:48-04:00,2024-07-29T12:00:00-04:00,2024-09-02T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/434397-mantenimiento-reparacion-mini-palas-direccion-servicios-urbanos-ad-referendum-1.html
ocds-03ad3f-445894-1,ADQUISICION DE CONTENEDORES METALICOS DE 5M3 PARA LA DIRECCION DE SERVICIOS URBANOS,cancelled,services,Menor cuantía nacional,Municipalidad de Asunción,512166655,,,PYG,0,0,,,2024-10-09T12:55:32-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef80e37-6b91-6326-b1c9-dd76aced1865.html
ocds-03ad3f-454157-1,ADQUISICION DE ELECTRODOMESTICOS PARA EL CENTRO DE ATENCION DE NIÑOS/AS Y ADOLESCENTES EN SITUACION DE CALLE,unsuccessful,services,Menor cuantía nacional,Municipalidad de Asunción,38965406,,,PYG,0,0,,,2024-10-15T13:47:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef6bba8-eca1-66ce-959d-fd2ddd6901d2.html
ocds-03ad3f-452156-1,ADQUISICION DE CUBIERTAS PARA VEHICULOS Y MAQUINARIAS DE LA DIRECCION DE SERVICIOS URBANOS,cancelled,services,CVE con difusión previa,Municipalidad de Asunción,513911736,,,PYG,0,0,,,2024-10-14T15:13:13-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef4857a-e1f6-6a32-a987-51e013037a79.html
ocds-03ad3f-439308-1,CONTRATACIÓN DE SEGUROS PARA LA MUNICIPALIDAD DE ASUNCIÓN ,complete,services,Contratación por Excepción,Municipalidad de Asunción,1109232613,1109232613,1109232613,PYG,1,1,ASEGURADORA YACYRETA S.A. DE SEGUROS,ASEGURADORA YACYRETA S.A. DE SEGUROS,2024-02-02T14:15:01-04:00,2024-04-12T09:28:59-04:00,2024-01-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/439308-contratacion-seguros-municipalidad-asuncion-1.html
ocds-03ad3f-450893-1,ALQUILER DE CAMIONES COMPACTADORES PARA RECOLECCION DE BASURA,complete,goods,CVE con difusión previa,Municipalidad de Asunción,6411002184,4658162184,,PYG,1,1,BERNARDA GONZALEZ MORINIGO,BERNARDA GONZALEZ MORINIGO,2024-08-08T15:02:33-04:00,2024-09-23T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef24371-420b-6bb4-af60-b9c0b1799b46.html
ocds-03ad3f-451325-1,ADQUISICION DE ACOPLADOS PARA EL TRANSPORTE DE COMPACTADORAS PARA LA DIRECCION DE VIALIDAD,unsuccessful,services,Menor cuantía nacional,Municipalidad de Asunción,140900000,,,PYG,0,0,,,2024-09-26T14:42:49-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef32fbb-aaad-608c-b8ac-b3783300bd6c.html
ocds-03ad3f-426700-1,SERVICIO DE TRANSMISION EN DIRECTO VIA STREAMING PARA LA MUNICIPALIDAD DE ASUNCION,complete,services,Contratación Directa,Municipalidad de Asunción,190000000,190000000,190000000,PYG,1,1,CESAR DANIEL GAVILAN CABALLERO,CESAR DANIEL GAVILAN CABALLERO,2023-09-05T15:46:00-04:00,2024-05-07T12:00:00-04:00,2024-06-25T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/426700-servicio-transmision-directo-via-streaming-municipalidad-asuncion-1.html
ocds-03ad3f-451096-1,ADQUISICION DE PISOS DE ADOQUIN DE CONCRETO PARA LA DIRECCION DE VIALIDAD,complete,services,Menor cuantía nacional,Municipalidad de Asunción,476460000,333000000,333000000,PYG,1,1,BERNARDA GONZALEZ MORINIGO,BERNARDA GONZALEZ MORINIGO,2024-07-17T11:24:08-04:00,2024-09-13T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef2d777-6cd1-6764-81f3-23b01acdeb66.html
ocds-03ad3f-440843-1,ADQUISICION DE HOJAS Y ADHESIVOS DE SEGURIDAD PARA LA DIRECCION DE RECAUDACIONES,complete,services,Menor cuantía nacional,Municipalidad de Asunción,384424150,96690000,96690000,PYG,1,1,ARTES GRAFICAS ZAMPHIROPOLOS SA,ARTES GRAFICAS ZAMPHIROPOLOS SA,2024-05-17T14:47:24-04:00,2024-08-20T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1eee2f73-2a6c-6096-a8d7-a1f97b2b85b2.html
ocds-03ad3f-450508-1,ADQUISICION DE INSUMOS DEPORTIVOS PARA ESCUELAS DEPORTIVAS DE LA CIUDAD DE ASUNCION,unsuccessful,services,Menor cuantía nacional,Municipalidad de Asunción,29712727,,,PYG,0,0,,,2024-10-09T17:48:08-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef19e53-4e26-655c-a4f4-1707bea5543b.html
ocds-03ad3f-436099-1,SERVICIOS PROFESIONALES PARA FABRICA DE SOFTWARE - PLURIANUAL,complete,services,Contratación Directa,Municipalidad de Asunción,200000000,200000000,200000000,PYG,1,1,CARMEN DIANA ALARCON GOMEZ,CARMEN DIANA ALARCON GOMEZ,2023-10-30T18:20:40-04:00,2024-07-29T12:00:00-04:00,2024-09-02T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/436099-servicios-profesionales-fabrica-software-plurianual-1.html
